15	10	E	-9710645.990288706	106
emissionprobs	4	0	H2az	0	0.9762375450383042
emissionprobs	4	0	H2az	1	0.023762454961695857
emissionprobs	4	1	H3k04me1	0	0.9742639764836123
emissionprobs	4	1	H3k04me1	1	0.02573602351638779
emissionprobs	4	2	H3k04me2	0	0.9973687958969231
emissionprobs	4	2	H3k04me2	1	0.002631204103076893
emissionprobs	4	3	H3k04me3	0	0.9813791247064848
emissionprobs	4	3	H3k04me3	1	0.01862087529351526
emissionprobs	4	4	H3k09ac	0	0.9950138269042362
emissionprobs	4	4	H3k09ac	1	0.00498617309576373
emissionprobs	4	5	H3k09me3	0	0.2147368301312041
emissionprobs	4	5	H3k09me3	1	0.785263169868796
emissionprobs	4	6	H3k27ac	0	0.9976987877336495
emissionprobs	4	6	H3k27ac	1	0.0023012122663505735
emissionprobs	4	7	H3k27me3	0	0.9992399925975262
emissionprobs	4	7	H3k27me3	1	7.600074024739378E-4
emissionprobs	4	8	H3k36me3	0	0.36731470164214514
emissionprobs	4	8	H3k36me3	1	0.6326852983578548
emissionprobs	4	9	H3k79me2	0	0.7811766433620947
emissionprobs	4	9	H3k79me2	1	0.2188233566379054
emissionprobs	5	0	H2az	0	0.9999720549415977
emissionprobs	5	0	H2az	1	2.7945058402328083E-5
emissionprobs	5	1	H3k04me1	0	0.9899861936030059
emissionprobs	5	1	H3k04me1	1	0.010013806396994084
emissionprobs	5	2	H3k04me2	0	0.9999270016847267
emissionprobs	5	2	H3k04me2	1	7.299831527333792E-5
emissionprobs	5	3	H3k04me3	0	0.9999883754789523
emissionprobs	5	3	H3k04me3	1	1.1624521047740655E-5
emissionprobs	5	4	H3k09ac	0	0.9996705959435785
emissionprobs	5	4	H3k09ac	1	3.2940405642148656E-4
emissionprobs	5	5	H3k09me3	0	0.9975897919998771
emissionprobs	5	5	H3k09me3	1	0.002410208000122988
emissionprobs	5	6	H3k27ac	0	0.9993449463495614
emissionprobs	5	6	H3k27ac	1	6.550536504386647E-4
emissionprobs	5	7	H3k27me3	0	0.9999612270409155
emissionprobs	5	7	H3k27me3	1	3.877295908456563E-5
emissionprobs	5	8	H3k36me3	0	0.7909111683673068
emissionprobs	5	8	H3k36me3	1	0.20908883163269334
emissionprobs	5	9	H3k79me2	0	0.965728087589549
emissionprobs	5	9	H3k79me2	1	0.03427191241045107
emissionprobs	6	0	H2az	0	0.9999700629866691
emissionprobs	6	0	H2az	1	2.9937013330871605E-5
emissionprobs	6	1	H3k04me1	0	0.9365185140094662
emissionprobs	6	1	H3k04me1	1	0.06348148599053384
emissionprobs	6	2	H3k04me2	0	0.9990600808515401
